Date,Open,High,Low,Close,Volume,SMA,SD,Upper_Band,Lower_Band,VWAP,EMA12,EMA26,MACD,signalline,RSI,%K,%D,H-L,H-PC,L-PC,ATR
2022-01-03,17387.150390625,17646.650390625,17383.30078125,17625.69921875,200500,,,,,17551.883463541664,17625.69921875,17625.69921875,0.0,0.0,,,,263.349609375,,,
2022-01-04,17681.400390625,17827.599609375,17593.55078125,17805.25,247400,,,,,17656.969085332246,17653.322415865387,17638.999276620372,14.323139245014318,2.8646278490028636,,,,234.048828125,201.900390625,32.1484375,
2022-01-05,17820.099609375,17944.69921875,17748.849609375,17925.25,251500,,,,,17734.628379198537,17695.157428809172,17660.203033907754,34.95439490141871,9.282581259486033,,,,195.849609375,139.44921875,56.400390625,
2022-01-06,17768.5,17797.94921875,17655.55078125,17745.900390625,236500,,,,,17734.25061709484,17702.9640383193,17666.550986257178,36.413052062122006,14.708675420013229,,,,142.3984375,127.30078125,269.69921875,
2022-01-07,17797.599609375,17905.0,17704.55078125,17812.69921875,239300,,,,,17749.149047713065,17719.84637377018,17677.376781256648,42.4695925135311,20.260858838716807,,,,200.44921875,159.099609375,41.349609375,
2022-01-10,17913.30078125,18017.44921875,17879.150390625,18003.30078125,232400,,,,,17785.056534384395,17763.45474415169,17701.519299774674,61.93544437701712,28.59577594637687,,,,138.298828125,204.75,66.451171875,
2022-01-11,17997.75,18081.25,17964.400390625,18055.75,220200,,,,,17818.705225747235,17808.423245051432,17727.758610902478,80.66463414895406,39.00954758689231,,,,116.849609375,77.94921875,38.900390625,
2022-01-12,18170.400390625,18227.94921875,18128.80078125,18212.349609375,245000,,,,,17867.238805302386,17870.565762639675,17763.65424041896,106.91152222071469,52.58994251365679,,,,99.1484375,172.19921875,73.05078125,
2022-01-13,18257.0,18272.25,18163.80078125,18257.80078125,303700,,,,,17918.036177845497,17930.140380887417,17800.257687887926,129.88269299949025,68.04849261082347,,,,108.44921875,59.900390625,48.548828125,
2022-01-14,18185.0,18286.94921875,18119.650390625,18255.75,229500,,,,,17946.914167164552,17980.2341684432,17833.997859155486,146.23630928771308,83.6860559462014,,,,167.298828125,29.1484375,138.150390625,
2022-01-17,18235.650390625,18321.55078125,18228.75,18308.099609375,266700,,,,,17980.763752356972,18030.67500550963,17869.116507319894,161.5584981897373,99.26054439490858,,,,92.80078125,65.80078125,27.0,
2022-01-18,18337.19921875,18350.94921875,18085.900390625,18113.05078125,227500,,,,,17996.651286306762,18043.34820177738,17887.185712796196,156.16248898118283,110.64093331216344,,,,265.048828125,42.849609375,222.19921875,
2022-01-19,18129.19921875,18129.19921875,17884.900390625,17938.400390625,276700,,,,,17995.56390733531,18027.20238467701,17890.979392635367,136.222992041643,115.75734505805936,,,,244.298828125,16.1484375,228.150390625,
2022-01-20,17921.0,17943.69921875,17648.44921875,17757.0,258100,,,,,17979.59593822022,17985.632787034392,17881.054993180893,104.57779385349932,113.52143481714735,54.11265792738583,38.61931712673282,,295.25,5.298828125,289.951171875,202.16727120535714
2022-01-21,17613.69921875,17707.599609375,17485.849609375,17617.150390625,277600,,,,,17951.47682620642,17928.943187586792,17861.50650410268,67.43668348411302,104.3044845505405,49.753799320290376,15.177533295253662,,221.75,49.400390625,271.150390625,202.72446986607142
2022-01-24,17575.150390625,17599.400390625,16997.849609375,17149.099609375,323800,,,,,17895.106745155543,17808.967252477287,17808.73562301174,0.23162946554657537,83.48991353354171,33.79595821423645,11.178038848881403,21.658296423622627,601.55078125,17.75,619.30078125,230.24246651785714
2022-01-25,17001.55078125,17309.150390625,16836.80078125,17277.94921875,326500,,,,,17838.69521617705,17727.272170365395,17769.418111584946,-42.14594121955088,58.36274258292319,34.08407225842144,29.135085211881677,18.496885785338915,472.349609375,160.05078125,312.298828125,249.99246651785714
2022-01-27,17062.0,17182.5,16866.75,17110.150390625,395600,,,,,17773.38719277838,17632.330358097643,17720.583465587915,-88.25310749027267,29.039572568284022,34.27878420228005,18.05302588604362,19.455383315602234,315.75,95.44921875,411.19921875,260.099609375
2022-01-28,17208.30078125,17373.5,17077.099609375,17101.94921875,355300,,,,,17732.450067734404,17550.733259736466,17674.758706562883,-124.02544682641746,-1.5734313106562752,31.899573831418692,17.511389962386037,21.56650035343711,296.400390625,263.349609375,33.05078125,266.95326450892856
2022-01-31,17301.05078125,17410.0,17264.150390625,17339.849609375,321700,17770.6224609375,397.8694552807399,18566.361371498977,16974.88355037602,17709.104545373964,17518.289621219315,17649.950625289708,-131.66100407039266,-27.590945862603554,33.50157802250321,33.223217464437006,22.929211104288886,145.849609375,308.05078125,162.201171875,274.33189174107144
2022-02-01,17529.44921875,17622.400390625,17244.55078125,17576.849609375,386400,17768.17998046875,398.9544112672381,18566.088803003226,16970.271157934276,17693.98294319813,17527.298850166346,17644.53573522195,-117.23688505560494,-45.52013370120383,39.092106984073034,48.87557981745102,33.20339574809135,377.849609375,282.55078125,95.298828125,292.97474888392856
2022-02-02,17706.19921875,17794.599609375,17674.80078125,17780.0,271200,17766.91748046875,398.87087156720503,18564.65922360316,16969.17573733434,17696.467330639196,17566.175950140754,17654.57012520551,-88.39417506475729,-54.09494197391453,40.35688117116827,62.29238794495669,48.1303950756149,119.798828125,217.75,97.951171875,296.22837611607144
2022-02-03,17767.75,17781.150390625,17511.150390625,17560.19921875,226600,17748.66494140625,399.5959552014087,18547.856851809065,16949.473031003432,17693.635867575627,17565.256453003716,17647.57968769029,-82.32323468657341,-59.74060051644631,35.563488445035105,47.77592603103023,52.981297931145974,270.0,1.150390625,268.849609375,307.76771763392856
2022-02-04,17590.19921875,17617.80078125,17462.55078125,17516.30078125,261400,17737.1849609375,402.9634489109558,18543.11185875941,16931.258063115587,17687.2243596364,17557.72481119545,17637.855324250268,-80.13051305481713,-63.81858302412048,34.95800456109403,44.87670978427437,51.648341253420426,155.25,57.6015625,97.6484375,306.90708705357144
2022-02-07,17456.30078125,17536.75,17119.400390625,17213.599609375,265000,17707.22998046875,419.00285655013096,18545.23569356901,16869.22426736849,17671.845306067655,17504.782472453844,17606.428975000246,-101.64650254640219,-71.38416692857683,29.793603288501075,24.885197434614135,39.17927774997291,417.349609375,20.44921875,396.900390625,330.08914620535717
2022-02-08,17279.849609375,17306.44921875,17043.650390625,17266.75,268500,17670.40244140625,423.9503337095735,18518.3031088254,16822.501773987104,17654.250160221072,17468.16209207633,17581.267569444673,-113.10547736834269,-79.72842901653001,33.5119231536121,33.26754399221409,34.34315040370086,262.798828125,92.849609375,169.94921875,329.92843191964283
2022-02-09,17370.099609375,17477.150390625,17339.0,17463.80078125,236400,17640.80498046875,416.22458100246854,18473.25414247369,16808.355818463813,17646.930804278683,17467.49112117997,17572.566325874697,-105.07520469472729,-84.79778415216947,40.833608079265645,56.644763309641945,38.26583491215672,138.150390625,210.400390625,72.25,327.50711495535717
